Iteration,Discriminator Loss,Generator Loss
0,1.020503,0.719559
10,0.397072,1.130907
20,0.106354,2.418067
30,0.092608,3.522830
40,0.165431,3.694887
50,0.263706,3.025970
60,0.329471,2.674960
70,0.424074,2.460200
80,0.479158,2.292777
90,2.642593,0.621147
100,0.680339,1.966784
110,0.843843,2.345952
120,0.802213,2.080315
130,0.921260,2.003015
140,0.801838,1.853792
150,1.301262,3.763351
160,2.776436,6.194070
170,5.190803,4.647675
180,4.042347,6.731402
190,1.534769,4.764056
200,4.037796,6.099524
210,2.642534,7.475268
220,4.713348,5.872706
230,3.653409,6.489147
240,4.225567,5.719053
250,2.884298,6.629281
260,4.207985,5.280308
270,4.118417,5.164392
280,2.281349,6.233190
290,2.155407,5.930916
300,2.682884,6.001542
310,3.014427,6.984252
320,2.063580,5.509717
330,2.712101,5.281711
340,3.120361,4.533545
350,2.386584,5.162356
360,2.233413,4.775870
370,2.647484,4.343745
380,2.470526,4.430619
390,2.369983,4.146131
400,2.567469,3.574531
410,1.793081,4.014779
420,1.726331,3.806338
430,2.016397,3.275978
440,1.998108,2.998117
450,1.751282,3.017958
460,1.477578,2.896067
470,1.710127,2.379110
480,1.488364,2.431893
490,1.379880,2.176808
500,0.995732,2.906801
510,1.560918,1.578771
520,1.297526,1.929257
530,1.213816,1.583223
540,1.088167,1.336141
550,1.054668,1.359459
560,1.091466,1.174115
570,1.168991,1.048091
580,1.157568,1.034258
590,1.109276,0.931194
600,1.251700,0.855224
610,1.303130,0.789930
620,1.304591,0.850662
630,1.307352,0.858280
640,1.326838,0.961090
650,1.331662,0.951177
660,1.319564,0.943869
670,1.305433,0.930144
680,1.240345,0.954296
690,1.248051,0.973349
700,1.248124,0.943277
710,1.222391,0.896019
720,1.165690,0.949178
730,1.137901,0.913477
740,1.132239,0.591895
750,1.157877,0.598684
760,0.965415,1.222335
770,0.666087,2.975830
780,0.453533,6.077857
790,0.348078,6.050201
800,0.190692,6.574889
810,0.218602,9.007916
820,0.112201,10.843485
830,0.123321,11.705216
840,0.100084,14.073610
850,0.151066,14.250799
860,0.164439,16.832630
870,0.176263,18.711109
880,0.185286,20.373308
890,0.325503,16.249615
900,0.462965,12.102705
910,0.460248,10.237797
920,0.444580,6.370866
930,0.401220,4.285109
940,0.443004,2.454225
950,0.395778,1.873752
960,0.528215,1.706956
970,0.556921,1.565409
980,0.668514,1.030206
990,0.650763,1.299034
1000,0.672067,1.241236
1010,0.622024,1.156476
1020,0.638195,1.350799
1030,0.581056,1.516404
1040,0.632625,1.394126
1050,0.674605,1.444427
1060,0.700145,1.601446
1070,0.664001,1.463706
1080,0.667867,1.683447
1090,0.718441,1.523906
1100,0.737795,1.898522
1110,0.802564,1.410624
1120,0.805119,1.318127
1130,0.840745,1.265885
1140,0.859154,1.386180
